source,target,pathway_name,prob,pval
SM,SM,ANGPTL,0.010758519998059898,0.0
SM,EG,ANGPTL,0.0006406253733460028,0.0
EG,ENDO,ANGPTL,0.0007792622771355304,0.0
EG,SM,ANGPTL,0.008249511480701313,0.0
EG,EG,ANGPTL,0.003057029144085537,0.0
Keratinocyte,EG,ANGPTL,0.0010679181511291588,0.0
Keratinocyte,Keratinocyte,ANGPTL,0.003469488552641249,0.0
Immune,EG,ANGPTL,0.0007927884247929274,0.0
Immune,Keratinocyte,ANGPTL,0.0011408006737378131,0.0
FIB,FIB,EPHB,0.0008933236695445289,0.0
FIB,ENDO,EPHB,0.0005718764142921662,0.0
FIB,SM,EPHB,0.0010868354504193984,0.0
ENDO,FIB,EPHB,0.0005718764142921662,0.0
ENDO,SM,EPHB,0.0011800883301108368,0.0
ENDO,Keratinocyte,EPHB,7.479776656217628e-05,0.0
ENDO,Immune,EPHB,0.004831213652915068,0.0
SM,FIB,EPHB,0.0010868354504193984,0.0
SM,ENDO,EPHB,0.0011800883301108368,0.0
SM,SM,EPHB,0.011180210818914547,0.0
SM,Immune,EPHB,0.0008340673500429195,0.0
EG,EG,EPHB,0.006962381761846196,0.0
Keratinocyte,ENDO,EPHB,0.000712356444384255,0.0
Keratinocyte,Keratinocyte,EPHB,0.0011503789906305334,0.0
Keratinocyte,Immune,EPHB,0.0003346866591150674,0.0
Immune,ENDO,EPHB,0.004831213652915068,0.0
Immune,SM,EPHB,0.0012895678347842805,0.0
Immune,Keratinocyte,EPHB,0.0003346866591150674,0.0
Immune,Immune,EPHB,0.0022498876946657914,0.0
FIB,FIB,EPHA,0.0013675696325596248,0.0
FIB,ENDO,EPHA,0.0003634199671430585,0.0
FIB,SM,EPHA,0.0010758451243077026,0.0
FIB,EG,EPHA,0.0009516159749770057,0.0
ENDO,FIB,EPHA,0.0003634199671430585,0.0
ENDO,ENDO,EPHA,0.0038754308294104145,0.0
ENDO,SM,EPHA,0.0015600253281338838,0.0
ENDO,Immune,EPHA,0.0002499009333357289,0.0
SM,FIB,EPHA,0.0010758451243077023,0.0
SM,ENDO,EPHA,0.0015600253281338838,0.0
SM,SM,EPHA,0.0017583919918015452,0.0
SM,EG,EPHA,0.0006172495851416903,0.0
SM,Immune,EPHA,0.0006355142975882245,0.0
EG,FIB,EPHA,0.001182231028302287,0.0
EG,SM,EPHA,0.0006172495851416903,0.0
EG,EG,EPHA,0.009794739245222343,0.0
EG,Keratinocyte,EPHA,0.0004995635758148681,0.0
EG,Immune,EPHA,0.0020745155102174276,0.0
Keratinocyte,EG,EPHA,0.0004995635758148681,0.0
Keratinocyte,Keratinocyte,EPHA,0.0011759696069249034,0.0
Keratinocyte,Immune,EPHA,4.564604821094756e-05,0.0
Immune,ENDO,EPHA,0.0002499009333357289,0.0
Immune,EG,EPHA,0.0026590169009601244,0.0
Immune,Keratinocyte,EPHA,4.564604821094756e-05,0.0
FIB,FIB,FGF,0.0013392138901870258,0.0
FIB,ENDO,FGF,0.0012196872406504565,0.0
ENDO,FIB,FGF,0.0011612184684817181,0.0
ENDO,ENDO,FGF,0.0013661705832661852,0.0
ENDO,SM,FGF,0.002547758230517586,0.0
ENDO,EG,FGF,0.0036609079340566095,0.0
ENDO,Keratinocyte,FGF,0.0014188293677335141,0.0
ENDO,Immune,FGF,0.0015573465551799513,0.0
SM,SM,FGF,0.00776373398456332,0.0
SM,Keratinocyte,FGF,0.0005986667834966599,0.0
EG,ENDO,FGF,0.0006335153402210395,0.0
EG,SM,FGF,0.002196683245621664,0.0
EG,EG,FGF,0.0035367319986139584,0.0
EG,Keratinocyte,FGF,0.001335251986813181,0.0
Keratinocyte,ENDO,FGF,0.0006321779443683203,0.0
Keratinocyte,EG,FGF,0.0007699223710331222,0.0
Immune,SM,FGF,0.0008463095078211748,0.0
Immune,EG,FGF,0.0005428749442631302,0.0
FIB,FIB,SEMA4,0.0032229347948048988,0.0
FIB,SM,SEMA4,0.0022950356206740286,0.0
ENDO,Keratinocyte,SEMA4,0.001476315954350044,0.0
SM,FIB,SEMA4,0.0022950356206740286,0.0
SM,SM,SEMA4,0.0019161951676500476,0.0
SM,EG,SEMA4,0.0008401062954693465,0.0
EG,SM,SEMA4,0.0008401062954693465,0.0
EG,EG,SEMA4,0.013357435077986174,0.0
EG,Keratinocyte,SEMA4,0.0015359845348993316,0.0
Keratinocyte,ENDO,SEMA4,0.001476315954350044,0.0
Keratinocyte,EG,SEMA4,0.0015359845348993316,0.0
Keratinocyte,Immune,SEMA4,0.0003642617487374098,0.0
Immune,EG,SEMA4,0.00048783169964763164,0.0
Immune,Keratinocyte,SEMA4,0.00036426174873740986,0.0
Immune,Immune,SEMA4,0.00019859777537191347,0.0
FIB,EG,MK,0.001251815835542003,0.0
ENDO,EG,MK,0.00312759900116234,0.0
ENDO,Keratinocyte,MK,0.0008403774175371104,0.0
SM,FIB,MK,0.0007378939019345034,0.0
SM,SM,MK,0.0028066797100918107,0.0
SM,EG,MK,0.002681341797016292,0.0
SM,Keratinocyte,MK,0.0007756024892024695,0.0
EG,FIB,MK,0.0044034791376455825,0.0
EG,EG,MK,0.013251811088806522,0.0
EG,Keratinocyte,MK,0.0009056468756570708,0.0
FIB,ENDO,EGF,0.0006188265588260866,0.0
