"","MGI.symbol","Symbol"
"8460","Klhl14","klhl14"
"8461","Dph1","dph1"
"8462","Grwd1","grwd1"
"8463","Megf6","megf6a"
"8464","Timm17a","timm17a"
"8465","Pacc1","pacc1"
"8466","Nt5dc1","nt5dc1"
"8467","Lgsn","lgsn"
"8468","Cdhr1","cdh23"
"8469","Dgkb","dgkb"
"8470","Atp5l","atp5l"
"8471","Metap1","metap1"
"8472","Selenoo","selenoo1"
"8473","Tpk1","tpk1"
"8474","Ksr1","ksr1b"
"8475","Myo9b","si:zfos-588f8.1"
"8476","Myo9b","myo9b"
"8477","Pmp2","fabp11b"
"8478","Npat","npat"
"8479","Magix","magixb"
"8480","Magix","magixa"
"8481","Ntsr1","ntsr1"
"8482","Skil","skilb"
"8483","Skil","skila"
"8484","Dct","dct"
"8485","Sorl1","sorl1"
"8486","Nif3l1","nif3l1"
"8487","Mettl14","mettl14"
"8488","Cacna2d3","cacna2d3"
"8489","Fbxl18","fbxl18"
"8490","Zdhhc25","zgc:77880"
"8491","Vil1","vil1"
"8492","Erich3","erich3"
"8493","Ubtd2","ubtd2"
"8494","Slc7a3","slc7a3a"
"8495","Nrros","nrros"
"8496","Grin1","grin1b"
"8497","Mphosph8","mphosph8"
"8498","Arhgap29","arhgap29a"
"8499","Arhgap29","arhgap29b"
"8500","Ikbkg","ikbkg"
"8501","Atp13a3","atp13a3"
"8502","Esyt3","esyt3"
"8503","Aldoart2","aldoaa"
"8504","Aldoart2","aldoab"
"8505","Syt7","syt7a"
"8506","Tufm","tufm"
"8507","Jam2","jam2a"
"8508","Lrrc74b","lrrc74b"
"8509","Shh","shhb"
"8510","Atp5a1","atp5fa1"
"8511","Mef2b","mef2b"
"8512","Pfkfb2","pfkfb2a"
"8513","Hao1","hao1"
"8514","Dad1","dad1"
"8515","Tube1","tube1"
"8516","Anapc7","anapc7"
"8517","Irx3","irx3a"
"8518","Cemip","cemip"
"8519","Ubac1","ubac1"
"8520","Rccd1","herc7"
"8521","Acsbg2","acsbg2"
"8522","Rab6a","rab6a"
"8523","Grin2b","grin2bb"
"8524","Fancg","fancg"
"8525","Uroc1","uroc1"
"8526","Zmym2","zmym2"
"8527","Eps8l2","eps8l2"
"8528","Ssx2ip","ssx2ipa"
"8529","Aspg","si:dkey-74k8.4"
"8530","Vcan","vcanb"
"8531","Tpte","tpte"
"8532","Tln1","tln1"
"8533","Sec11a","sec11a"
"8534","Galr2","galr2a"
"8535","Cul5","cul5b"
"8536","Des","desma"
"8537","Ndufa4","ndufa4"
"8538","Anapc10","anapc10"
"8539","Taf6l","taf6l"
